year,agency_code,target_list,subgroup_list
2018,040311,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,040316,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2018,040324,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,040328,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2018,040330,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,050302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,050305,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,050310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,050330,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,050335,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,060302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,060304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,060310,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,060316,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,060318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,060322,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,060328,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,060332,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,060334,,
2018,060700,"Math Grade 11,Reading Grade 10","ALL,WH7"
2018,060701,,
2018,06A000,,
2018,06B000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2018,070302,,
2018,070308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,070310,,
2018,070311,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,070325,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,070326,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,070327,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,070328,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,070329,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,070330,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,070338,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,070339,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
2018,070340,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,070342,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
2018,07A000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2018,080311,"Math Grade 11,Reading Grade 10",ALL
2018,080312,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS"
2018,080314,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2018,080348,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,080356,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,080360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,080362,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,08A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,090304,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,090315,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,090317,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,090318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
2018,090320,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,090324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
2018,090328,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7"
2018,090330,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,WH7"
2018,090332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,090333,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,090352,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
2018,090365,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,090368,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
2018,09A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,09B000,,
2018,100302,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,100304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,100307,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,100308,4 Year Graduation Rate,"ALL,WH7"
2018,100309,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,100310,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,100316,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,100320,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,100326,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
2018,100332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,100334,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,100335,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,100336,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,100338,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,100339,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,100340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,100342,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2018,100344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,100348,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2018,10A000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,10B000,,
2018,110303,4 Year Graduation Rate,ALL
2018,110304,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
2018,110306,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,110308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110318,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,110320,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110322,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2018,110323,4 Year Graduation Rate,"ALL,WH7"
2018,110324,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110326,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110332,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,110336,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,110338,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110340,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
2018,110342,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2018,110348,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
2018,110352,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,SWD,WH7"
2018,110356,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,110366,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110368,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110370,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110372,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS"
2018,110376,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,110379,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110380,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,110381,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110382,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110384,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,110388,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110401,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2018,110408,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2018,110410,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
2018,110412,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,110416,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2018,110420,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2018,110422,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,110425,,
2018,110428,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,110432,,
2018,110436,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
2018,110444,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,110450,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,110451,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,110500,"Math Grade 11,Reading Grade 10","ALL,WH7"
2018,111302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
2018,111304,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,111306,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,111312,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,111332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
2018,111356,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,111360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,SWD,WH7"
2018,111369,,
2018,111700,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2018,11A000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,11B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,11C000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,11D000,"Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,EDS,WH7"
2018,11K000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2018,120304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,120308,4 Year Graduation Rate,"ALL,EDS,WH7"
2018,120310,4 Year Graduation Rate,"ALL,WH7"
2018,120312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120314,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
2018,120315,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,EDS,HI7,SWD,WH7"
2018,120316,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2018,120318,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
2018,120320,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120324,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120334,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,EDS,HI7,SWD,WH7"
2018,120338,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,120340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2018,120344,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,120346,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,120350,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,120352,"Math Grades 3-8,Reading Grades 3-8","ALL,SWD"
2018,120360,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,120364,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120368,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120370,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,WH7"
2018,120372,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,120374,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120376,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,MU7,SWD,WH7"
2018,120380,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,120386,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,120390,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,12A000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2018,130304,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,130307,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
2018,130308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,130309,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,130310,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130311,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,130312,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,SWD,WH7"
2018,130313,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2018,130314,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130315,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,WH7"
2018,130316,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130317,,
2018,130318,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2018,130319,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,SWD,WH7"
2018,130320,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,MU7,SWD,WH7"
2018,130321,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,130322,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,130323,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2018,130324,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2018,130325,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130326,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,WH7"
2018,130327,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,130328,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,130329,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130330,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,130331,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130332,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
2018,130333,4 Year Graduation Rate,"ALL,WH7"
2018,130336,,
2018,130337,,
2018,130338,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,130340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,130342,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,130344,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2018,130345,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,130346,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,HI7,MU7,SWD,WH7"
2018,130349,,
2018,130350,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2018,130355,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2018,132304,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2018,132308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,132312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,132314,,
2018,132328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,132330,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
2018,132332,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
2018,132336,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
2018,13A000,"Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,AS7,BL7,HI7,SWD,WH7"
2018,13B000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
2018,13C000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS"
2018,13D000,,
2018,140304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,140305,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2018,140306,,
2018,140308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,140309,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2018,140312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
2018,140316,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,140324,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,140332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
2018,140336,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,140340,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2018,140344,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2018,140348,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
