District Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Score,Reading SPG Grade,Math SPG Score,Math SPG Grade,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,NC Math 1 Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing NC Math 3,4-Year Cohort Graduation Rate Score,State Gap Compared
Duplin County Schools,310384,Rose Hill-Magnolia Elementary,Southeast,D,44.0,38.0,F,48.0,D,Met,83.1,35,27,38,46,,,,,,,,
Duplin County Schools,310388,Wallace Elementary,Southeast,D,41.0,40.0,D,40.0,D,NotMet,59.4,36,34,33,49,,,,,,,,
Duplin County Schools,310392,Wallace-Rose Hill High,Southeast,C,61.0,,,,,Met,74.5,58,,,,43,41,40,50,73,100,83,
Duplin County Schools,310396,Warsaw Middle,Southeast,D,40.0,42.0,D,29.0,F,Exceeded,86.8,29,31,15,54,59,,,,,,,
Durham Public Schools,320304,Bethesda Elementary,North Central,D,49.0,46.0,D,45.0,D,NotMet,69.0,44,38,41,79,,,,,,,,
Durham Public Schools,320306,Brogden Middle,North Central,F,39.0,36.0,F,35.0,F,Met,78.3,29,27,23,50,88,,,,,,,
Durham Public Schools,320308,Burton Elementary,North Central,C,55.0,49.0,D,54.0,D,Exceeded,85.9,48,41,46,80,,,,,,,,
Durham Public Schools,320309,J D Clement Early College HS,North Central,A+NG,96.0,,,,,Exceeded,98.1,95,,,,100,90,95,91,,100,100,Y
Durham Public Schools,320310,Eastway Elementary,North Central,F,31.0,32.0,F,29.0,F,NotMet,63.8,23,22,20,34,,,,,,,,
Durham Public Schools,320312,C E Jordan High,North Central,C,65.0,,,,,Met,77.3,62,,,,37,54,56,55,73,93,80,
Durham Public Schools,320313,Easley Elementary,North Central,C,69.0,67.0,C,68.0,C,Met,79.7,67,66,64,77,,,,,,,,
Durham Public Schools,320314,The School for Creative Studies,North Central,C,65.0,59.0,C,57.0,C,Exceeded,89.7,58,55,47,71,59,57,48,54,,100,95,
Durham Public Schools,320315,Eno Valley Elementary,North Central,F,36.0,36.0,F,39.0,F,Met,77.0,26,25,27,22,,,,,,,,
Durham Public Schools,320316,George L Carrington Middle,North Central,D,50.0,45.0,D,46.0,D,Exceeded,90.4,40,36,34,58,100,,,,,,,
Durham Public Schools,320317,City of Medicine Academy,North Central,A+NG,90.0,,,,,Exceeded,100.0,87,,,,83,85,88,73,82,100,100,Y
Durham Public Schools,320318,Club Boulevard Elementary,North Central,D,52.0,50.0,D,54.0,D,NotMet,62.5,49,47,49,56,,,,,,,,
Durham Public Schools,320319,Creekside Elementary,North Central,C,64.0,59.0,C,69.0,C,Met,73.6,62,57,66,68,,,,,,,,
Durham Public Schools,320320,Glenn Elementary,North Central,F,37.0,33.0,F,38.0,F,NotMet,56.0,32,26,34,50,,,,,,,,
Durham Public Schools,320322,Durham's Performance Learning Center,North Central,,,,,,,,,,,,,,,,,,,,
Durham Public Schools,320323,Durham School of the Arts,North Central,B,82.0,73.0,B,72.0,B,Exceeded,98.2,78,70,69,86,73,87,77,83,94,100,100,
Durham Public Schools,320324,Hillandale Elementary,North Central,C,58.0,57.0,C,58.0,C,Met,79.1,53,53,51,58,,,,,,,,
Durham Public Schools,320325,Hillside High,North Central,C,58.0,,,,,Exceeded,86.8,51,,,,29,43,31,30,62,100,83,
Durham Public Schools,320327,Hope Valley Elementary,North Central,D,50.0,49.0,D,47.0,D,Met,71.0,45,43,42,60,,,,,,,,
Durham Public Schools,320328,Holt Elementary,North Central,D,53.0,44.0,D,56.0,C,Exceeded,86.0,45,36,47,71,,,,,,,,
Durham Public Schools,320329,Holton Career and Resource Center,North Central,I,,,,,,,,,,,,,,,,,,,
Durham Public Schools,320332,Forest View Elementary,North Central,C,69.0,65.0,C,69.0,C,Exceeded,85.5,65,61,65,79,,,,,,,,
Durham Public Schools,320336,DPS Hospital School,North Central,I,,,,,,,,,,,,,,,,,,,
Durham Public Schools,320338,James E Shepard Middle,North Central,D,40.0,39.0,F,36.0,F,Met,74.1,32,32,24,50,92,,,,,,,
Durham Public Schools,320339,Lakewood Elementary,North Central,F,35.0,29.0,F,34.0,F,NotMet,62.8,28,21,25,59,,,,,,,,
Durham Public Schools,320340,Little River Elementary,North Central,C,63.0,64.0,C,64.0,C,NotMet,68.7,62,63,60,62,,,,,,,,
Durham Public Schools,320341,Lakeview School,North Central,,,,,,,,,,,,,,,,,,,,
Durham Public Schools,320342,Lakewood Montessori Middle,North Central,C,64.0,64.0,C,59.0,C,NotMet,64.1,65,65,55,80,100,,,,,,,
Durham Public Schools,320343,Lucas Middle,North Central,D,43.0,43.0,D,41.0,D,Met,71.0,37,37,30,45,100,,,,,,,
Durham Public Schools,320344,Fayetteville Street Elementary,North Central,F,38.0,41.0,D,36.0,F,NotMet,62.7,32,34,29,40,,,,,,,,
Durham Public Schools,320346,Lowe's Grove Middle,North Central,D,44.0,48.0,D,32.0,F,Met,78.7,36,40,21,58,93,,,,,,,
Durham Public Schools,320347,George Watts Elementary,North Central,C,65.0,67.0,C,65.0,C,Met,78.1,62,65,60,57,,,,,,,,
Durham Public Schools,320348,Mangum Elementary,North Central,A+NG,85.0,81.0,B,80.0,B,Met,77.0,85,81,84,100,,,,,,,,Y
Durham Public Schools,320352,Merrick-Moore Elementary,North Central,D,41.0,39.0,F,40.0,D,Exceeded,85.9,30,28,28,40,,,,,,,,
Durham Public Schools,320353,Middle College HS @ DTCC,North Central,A,92.0,,,,,Exceeded,86.8,93,,,,,,79,84,,100,100,N
Durham Public Schools,320354,Morehead Montessori,North Central,B,71.0,71.0,B,69.0,C,Met,75.0,71,70,67,86,,,,,,,,
Durham Public Schools,320355,Neal Middle,North Central,F,35.0,42.0,D,24.0,F,NotMet,65.8,27,31,16,49,,,,,,,,
Durham Public Schools,320356,Northern High,North Central,C,61.0,,,,,Met,80.6,56,,,,33,48,44,37,71,100,85,
Durham Public Schools,320360,Oak Grove Elementary,North Central,D,52.0,49.0,D,55.0,C,NotMet,60.5,50,44,53,63,,,,,,,,
Durham Public Schools,320362,Parkwood Elementary,North Central,C,55.0,48.0,D,55.0,C,Met,80.9,49,41,50,73,,,,,,,,
Durham Public Schools,320363,E K Powe Elementary,North Central,C,60.0,58.0,C,60.0,C,Exceeded,85.5,54,52,53,60,,,,,,,,
Durham Public Schools,320364,Pearsontown Elementary,North Central,B,75.0,74.0,B,75.0,B,Met,81.6,73,72,72,77,,,,,,,,
Durham Public Schools,320365,Riverside High,North Central,C,64.0,,,,,Exceeded,86.5,58,,,,48,45,39,38,87,93,81,
Durham Public Schools,320366,Sherwood Githens Middle,North Central,D,53.0,54.0,D,43.0,D,Exceeded,90.2,44,45,33,56,100,,,,,,,
Durham Public Schools,320367,R N Harris Elementary,North Central,C,59.0,55.0,C,54.0,D,Met,77.9,54,48,52,75,,,,,,,,
Durham Public Schools,320368,Southern School of Energy and Sustainabi,North Central,D,51.0,,,,,Met,79.2,43,,,,18,36,27,25,53,92,83,
Durham Public Schools,320369,Sandy Ridge Elementary,North Central,D,52.0,49.0,D,53.0,D,NotMet,69.8,48,45,47,59,,,,,,,,
Durham Public Schools,320370,Rogers-Herr Middle,North Central,B,70.0,67.0,C,65.0,C,Exceeded,91.0,65,63,59,82,100,,,,,,,
Durham Public Schools,320372,Southwest Elementary,North Central,C,59.0,58.0,C,55.0,C,Met,81.7,53,52,49,70,,,,,,,,
Durham Public Schools,320374,C C Spaulding Elementary,North Central,F,30.0,27.0,F,31.0,F,Met,73.9,19,17,18,27,,,,,,,,
Durham Public Schools,320376,Spring Valley Elementary,North Central,C,56.0,55.0,C,52.0,D,Met,77.7,51,51,45,70,,,,,,,,
Durham Public Schools,320388,W G Pearson Elementary,North Central,F,35.0,35.0,F,36.0,F,Met,74.6,25,24,27,24,,,,,,,,
Durham Public Schools,320400,Y E Smith Elementary,North Central,D,43.0,39.0,F,44.0,D,Exceeded,89.1,32,28,32,44,,,,,,,,
Durham Public Schools,320701,Hillside New Tech High,North Central,B,71.0,,,,,Exceeded,88.4,66,,,,37,63,60,41,47,100,100,
Edgecombe County Public School,330304,G W Bulluck Elementary,North Central,D,49.0,42.0,D,52.0,D,NotMet,59.7,46,37,49,66,,,,,,,,
Edgecombe County Public School,330308,G W Carver Elementary,North Central,D,41.0,38.0,F,40.0,D,NotMet,51.3,39,33,38,57,,,,,,,,
Edgecombe County Public School,330312,Coker-Wimberly Elementary,North Central,F,26.0,31.0,F,25.0,F,NotMet,57.4,19,23,16,13,,,,,,,,
Edgecombe County Public School,330326,Edgecombe Early College High,North Central,A,91.0,,,,,Exceeded,89.7,91,,,,88,88,80,100,,100,100,N
Edgecombe County Public School,330328,North Edgecombe High,North Central,D,51.0,,,,,Exceeded,86.4,43,,,,25,24,31,14,67,91,85,
Edgecombe County Public School,330332,Phillips Middle,North Central,F,27.0,31.0,F,23.0,F,NotMet,69.5,16,20,11,22,,,,,,,,
Edgecombe County Public School,330334,Princeville Elementary,North Central,F,33.0,28.0,F,38.0,F,Met,82.7,20,15,26,21,,,,,,,,
Edgecombe County Public School,330340,South Edgecombe Middle,North Central,F,39.0,41.0,D,30.0,F,NotMet,53.3,36,36,24,61,83,,,,,,,
Edgecombe County Public School,330344,W A Pattillo Middle,North Central,D,41.0,34.0,F,40.0,D,Exceeded,85.9,30,23,27,49,93,,,,,,,
Edgecombe County Public School,330348,West Edgecombe Middle,North Central,D,47.0,41.0,D,39.0,F,NotMet,67.9,42,36,33,78,100,,,,,,,
Edgecombe County Public School,330350,SouthWest Edgecombe High,North Central,D,52.0,,,,,NotMet,59.9,50,,,,41,41,28,29,56,82,80,
Edgecombe County Public School,330354,Stocks Elementary,North Central,F,32.0,31.0,F,28.0,F,Met,75.5,21,19,17,39,,,,,,,,
Edgecombe County Public School,330358,Tarboro High,North Central,D,47.0,,,,,NotMet,63.4,43,,,,28,30,10,26,45,100,79,
Edgecombe County Public School,330360,Martin Millennium Academy,North Central,D,50.0,42.0,D,49.0,D,Met,80.4,42,35,41,57,100,,,,,,,
Forsyth County Schools,340308,Ashley Academy,Piedmont-Triad,F,22.0,24.0,F,21.0,F,NotMet,53.2,14,15,12,16,,,,,,,,
Forsyth County Schools,340311,Atkins Academic & Tech High,Piedmont-Triad,B,83.0,,,,,Exceeded,85.8,82,,,,76,78,79,80,80,100,100,
Forsyth County Schools,340314,Bolton Elementary,Piedmont-Triad,D,45.0,42.0,D,44.0,D,Met,80.8,37,33,35,53,,,,,,,,
Forsyth County Schools,340320,Brunson Elementary,Piedmont-Triad,C,68.0,67.0,C,67.0,C,NotMet,67.8,68,67,65,76,,,,,,,,
Forsyth County Schools,340326,Caleb's Creek Elementary,Piedmont-Triad,C,67.0,69.0,C,67.0,C,NotMet,63.8,68,67,67,72,,,,,,,,
Forsyth County Schools,340330,Carver High,Piedmont-Triad,D,50.0,,,,,Exceeded,90.1,41,,,,34,26,21,12,55,89,69,
Forsyth County Schools,340332,Career Center,Piedmont-Triad,I,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340334,Cash Elementary,Piedmont-Triad,C,69.0,69.0,C,61.0,C,Met,83.6,65,66,56,93,,,,,,,,
Forsyth County Schools,340336,Carter High School,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340344,Childrens Center,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340348,Clemmons Elementary,Piedmont-Triad,B,84.0,81.0,B,84.0,B,Exceeded,87.2,84,82,83,92,,,,,,,,
Forsyth County Schools,340350,Clemmons Middle School,Piedmont-Triad,C,61.0,61.0,C,49.0,D,Met,78.2,57,56,46,78,100,,,,,,,
Forsyth County Schools,340351,Cook Literacy Model School,Piedmont-Triad,F,28.0,28.0,F,23.0,F,Met,78.0,15,16,10,36,,,,,,,,
Forsyth County Schools,340354,The Downtown School,Piedmont-Triad,B,80.0,82.0,B,77.0,B,Exceeded,86.4,78,80,75,77,100,,,,,,,
Forsyth County Schools,340362,Early College of Forsyth Co,Piedmont-Triad,A,93.0,,,,,Met,78.3,100,,,,100,100,88,100,,100,100,N
Forsyth County Schools,340364,East Forsyth High,Piedmont-Triad,B,71.0,,,,,Met,79.8,68,,,,52,55,56,59,76,100,90,
Forsyth County Schools,340366,East Forsyth Middle School,Piedmont-Triad,D,43.0,45.0,D,35.0,F,Met,78.0,35,36,23,53,93,,,,,,,
Forsyth County Schools,340368,Easton Elementary School,Piedmont-Triad,F,33.0,28.0,F,39.0,F,Met,76.9,22,17,28,21,,,,,,,,
Forsyth County Schools,340372,Flat Rock Middle,Piedmont-Triad,D,48.0,44.0,D,44.0,D,Exceeded,93.4,37,33,32,53,95,,,,,,,
Forsyth County Schools,340376,Forest Park Elementary,Piedmont-Triad,F,29.0,27.0,F,32.0,F,Met,74.6,17,16,18,18,,,,,,,,
Forsyth County Schools,340380,Gibson Elementary,Piedmont-Triad,F,35.0,33.0,F,39.0,F,Met,76.5,25,22,27,24,,,,,,,,
Forsyth County Schools,340382,Robert B Glenn High School,Piedmont-Triad,C,69.0,,,,,Exceeded,87.6,64,,,,49,47,50,49,79,100,85,
Forsyth County Schools,340384,Griffith Elementary,Piedmont-Triad,D,44.0,42.0,D,43.0,D,Exceeded,86.1,34,30,33,47,,,,,,,,
Forsyth County Schools,340385,Main Street Academy,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340390,Hall-Woodward Elementary,Piedmont-Triad,D,44.0,40.0,D,48.0,D,NotMet,64.9,38,31,43,46,,,,,,,,
Forsyth County Schools,340392,Hanes Magnet School,Piedmont-Triad,B,72.0,75.0,B,66.0,C,NotMet,69.8,72,73,65,76,100,,,,,,,
Forsyth County Schools,340398,Homebound/ Hospital Education,Piedmont-Triad,I,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340400,Ibraham Elementary,Piedmont-Triad,D,43.0,39.0,F,44.0,D,NotMet,66.8,37,31,37,58,,,,,,,,
Forsyth County Schools,340403,Jefferson Elementary,Piedmont-Triad,B,77.0,76.0,B,77.0,B,Met,81.3,76,75,75,82,,,,,,,,
Forsyth County Schools,340406,Thomas Jefferson Middle,Piedmont-Triad,B,78.0,75.0,B,73.0,B,Exceeded,90.3,75,72,70,86,100,,,,,,,
Forsyth County Schools,340416,Kernersville Elementary,Piedmont-Triad,C,62.0,54.0,D,67.0,C,Exceeded,87.1,56,46,62,68,,,,,,,,
Forsyth County Schools,340420,Kernersville Middle,Piedmont-Triad,C,67.0,64.0,C,64.0,C,Met,83.9,63,60,58,73,100,,,,,,,
Forsyth County Schools,340424,Kimberley Park Elementary,Piedmont-Triad,F,28.0,29.0,F,28.0,F,NotMet,61.9,19,17,20,22,,,,,,,,
Forsyth County Schools,340426,Kimmel Farm Elementary,Piedmont-Triad,D,54.0,51.0,D,53.0,D,NotMet,64.5,51,48,48,68,,,,,,,,
Forsyth County Schools,340427,Kingswood School,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340428,Konnoak Elementary,Piedmont-Triad,D,44.0,41.0,D,45.0,D,NotMet,66.6,39,32,41,53,,,,,,,,
Forsyth County Schools,340430,Diggs-Latham Elementary,Piedmont-Triad,F,39.0,41.0,D,42.0,D,NotMet,58.8,34,32,38,26,,,,,,,,
Forsyth County Schools,340432,Lewisville Elementary,Piedmont-Triad,A+NG,89.0,86.0,A,87.0,A,Exceeded,96.5,87,84,85,100,,,,,,,,Y
Forsyth County Schools,340436,Lowrance Middle,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340440,Meadowlark Elementary,Piedmont-Triad,B,83.0,80.0,B,85.0,A,Met,84.8,83,80,84,85,,,,,,,,
Forsyth County Schools,340442,Meadowlark Middle,Piedmont-Triad,B,81.0,78.0,B,75.0,B,Exceeded,88.7,79,76,73,92,100,,,,,,,
Forsyth County Schools,340446,Middle College of Forsyth Cnty,Piedmont-Triad,A,95.0,,,,,,,95,,,,,,,88,,100,100,N
Forsyth County Schools,340447,Middle Fork Elementary,Piedmont-Triad,F,34.0,32.0,F,38.0,F,Met,79.1,23,21,26,18,,,,,,,,
Forsyth County Schools,340448,Mineral Springs Elementary,Piedmont-Triad,C,58.0,49.0,D,59.0,C,Exceeded,93.6,49,40,50,74,,,,,,,,
Forsyth County Schools,340452,Mineral Springs Middle,Piedmont-Triad,F,33.0,36.0,F,25.0,F,NotMet,58.9,26,26,17,50,42,,,,,,,
Forsyth County Schools,340453,Moore Magnet Elementary,Piedmont-Triad,C,55.0,57.0,C,55.0,C,Met,71.8,51,52,50,53,,,,,,,,
Forsyth County Schools,340454,Mount Tabor High School,Piedmont-Triad,B,70.0,,,,,Met,75.8,68,,,,52,55,55,61,75,100,93,
Forsyth County Schools,340457,Frank Morgan Elementary,Piedmont-Triad,B,76.0,71.0,B,76.0,B,Exceeded,85.6,73,68,75,87,,,,,,,,
Forsyth County Schools,340460,North Forsyth High,Piedmont-Triad,C,55.0,,,,,NotMet,65.4,52,,,,30,36,38,31,68,100,79,
Forsyth County Schools,340462,North Hills Elementary,Piedmont-Triad,F,37.0,36.0,F,44.0,D,NotMet,58.8,31,27,40,17,,,,,,,,
Forsyth County Schools,340464,Northwest Middle,Piedmont-Triad,D,49.0,45.0,D,41.0,D,Exceeded,87.5,39,36,30,62,87,,,,,,,
Forsyth County Schools,340472,Old Richmond Elementary,Piedmont-Triad,B,74.0,72.0,B,72.0,B,Met,75.5,74,70,73,87,,,,,,,,
Forsyth County Schools,340476,Old Town Elementary,Piedmont-Triad,D,42.0,40.0,D,41.0,D,NotMet,57.7,38,32,37,53,,,,,,,,
Forsyth County Schools,340480,Paisley IB Magnet School,Piedmont-Triad,C,61.0,60.0,C,50.0,D,Met,80.2,56,54,41,69,76,100,88,,,,,
Forsyth County Schools,340486,Parkland High,Piedmont-Triad,C,56.0,,,,,Met,81.3,50,,,,29,34,29,33,80,100,81,
Forsyth County Schools,340488,J F Kennedy High,Piedmont-Triad,C,55.0,33.0,F,33.0,F,Exceeded,94.4,46,20,20,68,49,44,28,39,60,100,87,
Forsyth County Schools,340490,Petree Elementary,Piedmont-Triad,F,39.0,36.0,F,37.0,F,Exceeded,87.0,27,24,25,45,,,,,,,,
Forsyth County Schools,340492,Philo-Hill Magnet Academy,Piedmont-Triad,F,22.0,30.0,F,16.0,F,NotMet,53.8,15,17,7,22,81,,,,,,,
Forsyth County Schools,340494,Piney Grove Elementary,Piedmont-Triad,B,74.0,73.0,B,71.0,B,Exceeded,85.3,71,71,67,81,,,,,,,,
Forsyth County Schools,340495,Ronald W Reagan High School,Piedmont-Triad,A+NG,85.0,,,,,Exceeded,86.7,84,,,,77,77,76,82,90,100,94,Y
Forsyth County Schools,340496,R J Reynolds High,Piedmont-Triad,B,74.0,,,,,Exceeded,93.3,69,,,,45,62,63,60,80,95,93,
Forsyth County Schools,340504,Rural Hall Elementary,Piedmont-Triad,C,57.0,54.0,D,59.0,C,Met,79.4,51,47,53,57,,,,,,,,
Forsyth County Schools,340508,Sedge Garden Elementary,Piedmont-Triad,B,70.0,67.0,C,69.0,C,Exceeded,85.5,66,63,66,74,,,,,,,,
Forsyth County Schools,340512,Sherwood Forest Elementary,Piedmont-Triad,B,83.0,83.0,B,81.0,B,Met,77.9,84,83,85,87,,,,,,,,
Forsyth County Schools,340514,Smith Farm Elementary,Piedmont-Triad,D,47.0,47.0,D,49.0,D,Met,75.4,41,41,40,40,,,,,,,,
Forsyth County Schools,340516,Southeast Middle,Piedmont-Triad,C,55.0,55.0,C,46.0,D,Met,78.4,50,47,42,70,89,,,,,,,
Forsyth County Schools,340520,South Fork Elementary,Piedmont-Triad,D,50.0,45.0,D,49.0,D,Exceeded,89.6,40,36,39,56,,,,,,,,
Forsyth County Schools,340528,Southwest Elementary,Piedmont-Triad,B,79.0,79.0,B,78.0,B,Met,70.9,81,79,81,85,,,,,,,,
Forsyth County Schools,340530,Speas Elementary,Piedmont-Triad,D,46.0,50.0,D,39.0,F,Met,82.2,37,41,31,47,,,,,,,,
Forsyth County Schools,340531,The Special Children's School,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Forsyth County Schools,340532,Union Cross Traditional Acad,Piedmont-Triad,D,53.0,49.0,D,48.0,D,Met,80.6,46,42,39,72,,,,,,,,
Forsyth County Schools,340536,Vienna Elementary,Piedmont-Triad,B,81.0,81.0,B,79.0,B,Met,81.5,81,82,78,89,,,,,,,,
Forsyth County Schools,340540,Walkertown Elementary,Piedmont-Triad,C,56.0,54.0,D,58.0,C,NotMet,65.4,54,52,53,60,,,,,,,,
Forsyth County Schools,340542,Walkertown High,Piedmont-Triad,C,69.0,,,,,Met,83.0,66,,,,40,52,51,54,81,95,93,
Forsyth County Schools,340544,Walkertown Middle,Piedmont-Triad,D,48.0,47.0,D,42.0,D,Met,76.8,41,39,32,59,89,,,,,,,
Forsyth County Schools,340548,Ward Elementary,Piedmont-Triad,C,57.0,54.0,D,56.0,C,Met,83.2,51,48,48,65,,,,,,,,
Forsyth County Schools,340556,West Forsyth High,Piedmont-Triad,A+NG,85.0,,,,,Exceeded,100.0,81,,,,68,78,80,73,77,100,94,Y
Forsyth County Schools,340560,Whitaker Elementary,Piedmont-Triad,A+NG,87.0,82.0,B,89.0,A,Met,84.0,88,84,89,93,,,,,,,,Y
Forsyth County Schools,340564,Wiley Magnet Middle,Piedmont-Triad,D,52.0,49.0,D,44.0,D,Exceeded,85.3,44,41,34,69,87,,,,,,,
Forsyth County Schools,340568,Winston-Salem Preparatory Acad,Piedmont-Triad,D,44.0,40.0,D,32.0,F,Met,73.7,37,30,19,48,24,30,12,22,40,100,100,
Franklin County Schools,350304,Bunn Elementary,North Central,C,63.0,60.0,C,65.0,C,NotMet,62.7,63,57,66,76,,,,,,,,
Franklin County Schools,350308,Bunn High,North Central,B,71.0,,,,,Met,81.5,68,,,,51,66,52,60,79,100,86,
Franklin County Schools,350310,Bunn Middle,North Central,C,66.0,64.0,C,58.0,C,Exceeded,90.4,60,59,51,86,100,,,,,,,
Franklin County Schools,350312,Cedar Creek Middle,North Central,B,70.0,70.0,B,59.0,C,Exceeded,90.0,64,65,53,88,100,,,,,,,
Franklin County Schools,350316,Edward Best Elementary,North Central,B,71.0,65.0,C,76.0,B,Met,74.8,71,61,77,81,,,,,,,,
Franklin County Schools,350317,Franklin County Early College,North Central,A,89.0,,,,,Exceeded,91.3,88,,,,83,91,84,81,,100,100,N
Franklin County Schools,350318,Franklinton Elementary,North Central,D,52.0,46.0,D,56.0,C,Met,73.0,47,39,50,58,,,,,,,,
Franklin County Schools,350321,Franklinton High,North Central,B,74.0,,,,,Exceeded,91.4,70,,,,60,62,60,59,66,94,84,
Franklin County Schools,350324,Franklinton Middle,North Central,D,52.0,52.0,D,45.0,D,Exceeded,91.7,42,42,35,53,100,,,,,,,
Franklin County Schools,350330,Laurel Mill Elementary,North Central,C,68.0,63.0,C,68.0,C,Met,80.8,65,61,65,75,,,,,,,,
Franklin County Schools,350331,Long Mill Elementary,North Central,C,68.0,62.0,C,67.0,C,Met,79.4,65,58,65,86,,,,,,,,
Franklin County Schools,350332,Louisburg Elementary,North Central,C,60.0,59.0,C,59.0,C,Met,73.7,56,54,57,67,,,,,,,,
Franklin County Schools,350336,Louisburg High,North Central,C,65.0,,,,,NotMet,67.8,64,,,,56,54,31,51,76,100,87,
Franklin County Schools,350338,Terrell Lane Middle,North Central,C,63.0,65.0,C,53.0,D,Met,81.8,59,61,46,84,100,,,,,,,
Franklin County Schools,350339,Royal Elementary,North Central,C,60.0,53.0,D,63.0,C,Met,80.1,56,48,58,73,,,,,,,,
Franklin County Schools,350340,Youngsville Elementary,North Central,C,66.0,69.0,C,67.0,C,NotMet,63.1,67,67,69,61,,,,,,,,
Gaston County Schools,360310,Ashbrook High,Southwest,C,67.0,,,,,Met,83.5,63,,,,47,46,47,50,49,100,92,
Gaston County Schools,360320,Belmont Central Elementary,Southwest,B,77.0,75.0,B,76.0,B,Exceeded,88.1,74,73,73,81,,,,,,,,
Gaston County Schools,360324,Belmont Middle,Southwest,B,70.0,65.0,C,69.0,C,Met,73.6,69,65,65,80,100,,,,,,,
Gaston County Schools,360332,Bessemer City Central Elem,Southwest,D,44.0,44.0,D,41.0,D,Met,81.1,35,35,31,46,,,,,,,,
Gaston County Schools,360336,Bessemer City High,Southwest,C,55.0,,,,,NotMet,56.7,55,,,,31,34,49,37,58,100,86,
Gaston County Schools,360337,Gaston Early College High School,Southwest,A,95.0,,,,,Exceeded,86.1,100,,,,100,100,100,100,,100,92,N
Gaston County Schools,360338,Bessemer City Primary,Southwest,I,,,,,,,,,,,,,,,,,,,
Gaston County Schools,360339,W B Beam Intermediate School,Southwest,D,53.0,58.0,C,52.0,D,NotMet,57.2,53,55,50,53,,,,,,,,
Gaston County Schools,360340,Brookside Elementary,Southwest,C,60.0,61.0,C,60.0,C,Met,74.9,56,55,57,55,,,,,,,,
Gaston County Schools,360344,Carr Elementary,Southwest,C,59.0,52.0,D,61.0,C,Exceeded,86.0,53,45,56,68,,,,,,,,
Gaston County Schools,360348,Catawba Heights Elementary,Southwest,C,58.0,55.0,C,61.0,C,Met,83.1,52,49,55,52,,,,,,,,
Gaston County Schools,360352,Chapel Grove Elementary,Southwest,C,55.0,54.0,D,56.0,C,NotMet,64.9,53,50,53,59,,,,,,,,
Gaston County Schools,360360,Cherryville High,Southwest,B,78.0,,,,,Exceeded,89.6,76,,,,57,68,61,68,75,100,95,
Gaston County Schools,360364,Cherryville Elementary,Southwest,C,59.0,56.0,C,61.0,C,Met,71.0,56,52,61,,,,,,,,,
Gaston County Schools,360372,Warlick Academy,Southwest,,,,,,,,,,,,,,,,,,,,
Gaston County Schools,360376,Costner Elementary,Southwest,C,63.0,60.0,C,62.0,C,Met,84.4,57,54,57,65,,,,,,,,
Gaston County Schools,360378,Stuart W Cramer High,Southwest,B,80.0,,,,,Exceeded,95.8,76,,,,69,63,63,63,72,100,95,
Gaston County Schools,360380,Cramerton Middle,Southwest,B,77.0,72.0,B,75.0,B,Met,83.7,75,71,72,85,100,,,,,,,
Gaston County Schools,360390,East Gaston High,Southwest,B,70.0,,,,,Exceeded,86.8,66,,,,54,48,57,55,62,100,90,
Gaston County Schools,360392,Edward D Sadler Jr Elementary School,Southwest,D,44.0,42.0,D,42.0,D,Met,84.5,34,32,31,52,,,,,,,,
Gaston County Schools,360394,Webb Street School,Southwest,,,,,,,,,,,,,,,,,,,,
Gaston County Schools,360396,Forestview High,Southwest,B,80.0,,,,,Exceeded,93.2,76,,,,54,67,80,70,74,100,92,
Gaston County Schools,360400,Gardner Park Elementary,Southwest,C,58.0,55.0,C,58.0,C,Exceeded,86.2,51,49,50,62,,,,,,,,
Gaston County Schools,360408,W P Grier Middle School,Southwest,C,60.0,57.0,C,56.0,C,Exceeded,90.8,52,50,47,61,100,,,,,,,
Gaston County Schools,360418,Highland Sch of Technology,Southwest,A+NG,99.0,,,,,Exceeded,100.0,100,,,,100,100,100,100,100,100,100,Y
Gaston County Schools,360420,Hawks Nest STEAM Academy,Southwest,B,73.0,78.0,B,69.0,C,Exceeded,87.2,70,76,65,68,,,,,,,,
Gaston County Schools,360426,Holbrook Middle,Southwest,C,64.0,58.0,C,62.0,C,Exceeded,86.6,59,55,55,70,100,,,,,,,
Gaston County Schools,360428,Hunter Huss High,Southwest,C,60.0,,,,,Met,80.9,55,,,,39,43,46,27,56,94,81,
Gaston County Schools,360430,J B Page Primary School,Southwest,I,,,,,,,,,,,,,,,,,,,
Gaston County Schools,360431,John Chavis Middle School,Southwest,C,61.0,60.0,C,51.0,D,NotMet,69.4,60,57,48,85,100,,,,,,,
