"County","Year","Index Rate","Violent Rate","Property Rate","Murder Rate","Rape Rate","Robbery Rate","Assault Rate","Burglary Rate","Larceny Rate","MVT Rate","Arson Rate"
"Lincoln County","2016","1,924.0","149.9","1,774.1","","16.0","12.3","121.6","431.2","1,231.0","111.8","13.5"
"Macon County","2016","2,484.5","86.3","2,398.3","5.8","8.6","2.9","69.0","810.9","1,460.8","126.5","11.5"
"Madison County","2016","1,064.6","34.7","1,029.9","5.0","0.0","5.0","24.8","485.2","519.9","24.8","5.0"
"Martin County","2016","3,255.3","400.1","2,855.2","16.8","12.6","67.4","303.2","1,094.9","1,617.1","143.2","25.3"
"McDowell County","2016","3,121.3","161.9","2,959.4","6.7","18.0","33.7","103.4","958.0","1,763.1","238.4","42.7"
"Mecklenburg County","2016","4,672.1","657.5","4,014.6","6.6","23.9","213.4","413.6","707.3","3,025.0","282.3","23.3"
"Mitchell County","2016","1,933.5","179.9","1,753.6","","45.0","","134.9","179.9","1,573.7","","45.0"
"Montgomery County","2016","2,361.1","244.4","2,116.7","14.4","18.0","46.7","165.3","736.7","1,308.1","71.9","28.8"
"Moore County","2016","1,760.8","166.9","1,593.9","8.7","14.2","40.4","103.6","429.8","1,108.4","55.6","1.1"
"Nash County","2016","2,529.2","360.9","2,168.4","6.5","22.6","87.3","244.5","586.0","1,484.4","98.0","9.7"
"New Hanover County","2016","3,697.5","436.6","3,260.9","7.8","30.7","118.3","279.7","848.8","2,249.7","162.3","15.1"
"Northampton County","2016","1,886.3","201.1","1,685.3","11.8","23.7","23.7","141.9","999.3","591.3","94.6","17.7"
"Onslow County","2016","3,357.0","304.2","3,052.8","8.0","37.9","43.6","214.7","840.3","2,098.3","114.2","13.8"
"Orange County","2016","2,217.7","172.1","2,045.6","3.5","20.5","43.9","104.1","448.9","1,519.5","77.2","5.7"
"Pamlico County","2016","1,728.1","48.9","1,679.2","","8.2","16.3","24.5","277.1","1,271.6","130.4","8.2"
"Pasquotank County","2016","3,298.5","424.9","2,873.6","10.1","30.2","98.0","286.6","807.0","1,993.7","72.9","5.0"
"Pender County","2016","2,161.3","112.4","2,048.9","","22.5","17.3","72.6","397.7","1,538.8","112.4","3.5"
"Perquimans County","2016","1,234.6","153.4","1,081.2","7.7","15.3","23.0","107.4","582.8","460.1","38.3","7.7"
"Person County","2016","1,902.8","262.8","1,640.0","20.2","10.1","35.4","197.1","545.8","1,053.7","40.4","12.6"
"Pitt County","2016","3,535.1","427.8","3,107.2","6.8","16.5","114.1","290.4","831.7","2,164.3","111.2","4.0"
"Polk County","2016","1,597.8","86.4","1,511.4","4.8","19.2","4.8","57.6","427.0","983.6","100.8","4.8"
"Randolph County","2016","2,970.8","198.2","2,772.6","0.7","25.9","49.7","121.9","705.4","1,964.2","103.0","9.1"
"Richmond County","2016","4,747.2","564.5","4,182.7","13.2","24.3","105.8","421.1","1,563.3","2,412.2","207.3","26.5"
"Robeson County","2016","5,747.1","780.9","4,966.2","24.6","16.1","209.1","531.1","1,926.2","2,790.2","249.8","55.3"
"Rockingham County","2016","","","","","","","","","","",""
"Rowan County","2016","2,733.4","418.9","2,314.5","17.5","19.0","79.3","303.1","645.1","1,552.8","116.6","14.3"
"Rutherford County","2016","2,891.0","232.2","2,658.8","3.2","4.7","12.6","211.7","1,074.3","1,413.9","170.6","15.8"
"Sampson County","2016","2,462.7","241.2","2,221.5","4.8","14.3","61.9","160.3","969.5","1,107.6","144.4","12.7"
"Scotland County","2016","4,632.2","744.3","3,887.9","17.2","31.6","143.7","551.7","2,198.3","1,502.9","186.8","40.2"
"Stanly County","2016","2,712.5","273.3","2,439.2","4.0","14.1","52.2","202.9","771.5","1,577.3","90.4","22.1"
"Statewide County","2016","","","","","","","","","","",""
"Stokes County","2016","2,271.8","153.8","2,117.9","4.2","8.4","2.1","139.1","503.7","1,521.5","92.7","4.2"
"Surry County","2016","3,001.0","167.9","2,833.1","2.7","20.5","31.4","113.3","846.1","1,853.3","133.7","24.6"
"Swain County","2016","2,238.4","199.0","2,039.4","","39.8","19.9","139.3","1,004.8","885.4","149.2",""
"Transylvania County","2016","1,585.4","112.6","1,472.8","","26.7","29.6","56.3","491.9","921.6","59.3","8.9"
"Tyrrell County","2016","1,138.2","189.7","948.5","","47.4","","142.3","118.6","830.0","",""
"Union County","2016","2,323.9","215.4","2,108.5","3.7","12.9","53.0","145.7","499.5","1,513.6","95.5","11.5"
"Vance County","2016","4,029.1","505.6","3,523.5","17.7","13.3","99.8","374.7","1,153.1","2,233.0","137.5","26.6"
"Wake County","2016","2,158.7","244.1","1,914.6","3.4","17.9","82.5","140.3","358.0","1,448.8","107.8","6.2"
"Warren County","2016","2,066.1","185.6","1,880.5","4.9","9.8","9.8","161.2","854.8","889.0","136.8","29.3"
"Washington County","2016","5,270.3","918.9","4,351.4","","54.1","27.0","837.8","621.6","3,513.5","216.2","162.2"
"Watauga County","2016","","","","","","","","","","",""
"Wayne County","2016","3,566.9","442.0","3,124.9","9.0","5.8","97.8","329.4","996.5","1,942.0","186.5","8.2"
"Wilkes County","2016","1,858.2","208.4","1,649.9","4.3","12.9","23.0","168.1","484.3","1,095.1","70.4","20.1"
"Wilson County","2016","3,649.3","398.9","3,250.4","14.8","16.1","124.7","243.3","902.8","2,145.1","202.5","11.1"
"Yadkin County","2016","2,173.1","231.2","1,941.8","2.8","19.5","25.1","183.9","660.3","1,159.0","122.6","5.6"
"Yancey County","2016","707.2","55.7","651.5","","11.1","","44.5","217.2","417.6","16.7",""
