year,agency_code,expenditure_category,state_funds,federal_funds,local_funds,total_funds,state_ppe,federal_ppe,local_ppe,total_ppe,ADM
2019,010320,TOTAL,3068803.0,302221.0,674999.0,4046023,8294.07,816.82,1824.33,10935.22,370
2019,010324,SALARIES,4263982.47,310315.05,999915.96,5574212,3580.17,260.55,839.56,4680.28,1191
2019,010324,EMPLOYEE BENEFITS,1586733.57,121231.89,309124.05,2017088,1332.27,101.79,259.55,1693.61,1191
2019,010324,PURCHASED SERVICES,120231.45,52511.19,393887.52,566629,100.95,44.09,330.72,475.76,1191
2019,010324,SUPPLIES & MATERIALS,91659.36,231316.02,166477.98,489452,76.96,194.22,139.78,410.96,1191
2019,010324,INSTRUCTIONAL EQUIP.,32764.41,37111.56,18079.38,87954,27.51,31.16,15.18,73.85,1191
2019,010324,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1191
2019,010324,CENTRAL EXPENSE,167192.58,25213.47,335218.86,527623,140.38,21.17,281.46,443.01,1191
2019,010324,TOTAL,6262561.0,777697.0,2222700.0,9262958,5258.24,652.98,1866.25,7777.47,1191
2019,010326,SALARIES,2558393.12,385356.48,484327.04,3428076,4321.61,650.94,818.12,5790.67,592
2019,010326,EMPLOYEE BENEFITS,810625.6,135739.68,157827.2,1104191,1369.3,229.29,266.6,1865.19,592
2019,010326,PURCHASED SERVICES,53771.36,51752.64,156578.08,262101,90.83,87.42,264.49,442.74,592
2019,010326,SUPPLIES & MATERIALS,14705.28,343993.44,107726.24,466424,24.84,581.07,181.97,787.88,592
2019,010326,INSTRUCTIONAL EQUIP.,16285.92,4516.96,6855.36,27656,27.51,7.63,11.58,46.72,592
2019,010326,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,592
2019,010326,CENTRAL EXPENSE,83104.96,12532.64,166624.32,262260,140.38,21.17,281.46,443.01,592
2019,010326,TOTAL,3536883.0,933888.0,1079937.0,5550708,5974.47,1577.52,1824.22,9376.21,592
2019,010328,SALARIES,2493616.72,168850.72,473588.16,3136054,4652.27,315.02,883.56,5850.85,536
2019,010328,EMPLOYEE BENEFITS,971671.52,56505.12,148788.24,1176964,1812.82,105.42,277.59,2195.83,536
2019,010328,PURCHASED SERVICES,48486.56,23943.12,159202.72,231631,90.46,44.67,297.02,432.15,536
2019,010328,SUPPLIES & MATERIALS,18877.92,102027.6,85599.2,206503,35.22,190.35,159.7,385.27,536
2019,010328,INSTRUCTIONAL EQUIP.,14745.36,5896.0,51959.84,72600,27.51,11.0,96.94,135.45,536
2019,010328,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,536
2019,010328,CENTRAL EXPENSE,75243.68,11347.12,150862.56,237452,140.38,21.17,281.46,443.01,536
2019,010328,TOTAL,3622638.0,368568.0,1069998.0,5061204,6758.66,687.63,1996.27,9442.56,536
2019,010340,SALARIES,3083563.23,154952.78,508943.62,3747458,4241.49,213.14,700.06,5154.69,727
2019,010340,EMPLOYEE BENEFITS,1030253.51,50817.3,157097.43,1238167,1417.13,69.9,216.09,1703.12,727
2019,010340,PURCHASED SERVICES,65764.42,33071.23,197918.48,296753,90.46,45.49,272.24,408.19,727
2019,010340,SUPPLIES & MATERIALS,32373.31,178253.13,119424.29,330050,44.53,245.19,164.27,453.99,727
2019,010340,INSTRUCTIONAL EQUIP.,19999.77,26382.83,6295.82,52676,27.51,36.29,8.66,72.46,727
2019,010340,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,727
2019,010340,CENTRAL EXPENSE,102056.26,15390.59,204621.42,322067,140.38,21.17,281.46,443.01,727
2019,010340,TOTAL,4334008.0,458865.0,1194298.0,5987171,5961.5,631.18,1642.78,8235.46,727
2019,010346,SALARIES,1889953.78,184873.26,307356.79,2382182,5013.14,490.38,815.27,6318.79,377
2019,010346,EMPLOYEE BENEFITS,738701.34,76485.76,95950.27,911136,1959.42,202.88,254.51,2416.81,377
2019,010346,PURCHASED SERVICES,34307.0,20195.89,133638.96,188140,91.0,53.57,354.48,499.05,377
2019,010346,SUPPLIES & MATERIALS,14812.33,119588.17,67961.79,202361,39.29,317.21,180.27,536.77,377
2019,010346,INSTRUCTIONAL EQUIP.,10371.27,20866.95,4689.88,35926,27.51,55.35,12.44,95.3,377
2019,010346,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,377
2019,010346,CENTRAL EXPENSE,52923.26,7981.09,106110.42,167014,140.38,21.17,281.46,443.01,377
2019,010346,TOTAL,2741067.0,429988.0,715704.0,3886759,7270.74,1140.56,1898.43,10309.73,377
2019,010347,SALARIES,2788574.46,472273.41,517077.54,3777924,4578.94,775.49,849.06,6203.49,609
2019,010347,EMPLOYEE BENEFITS,1058368.92,210202.44,164563.98,1433133,1737.88,345.16,270.22,2353.26,609
2019,010347,PURCHASED SERVICES,55090.14,29408.61,120435.84,204933,90.46,48.29,197.76,336.51,609
2019,010347,SUPPLIES & MATERIALS,29658.3,318872.4,114912.21,463442,48.7,523.6,188.69,760.99,609
2019,010347,INSTRUCTIONAL EQUIP.,16753.59,6814.71,2253.3,25820,27.51,11.19,3.7,42.4,609
2019,010347,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,609
2019,010347,CENTRAL EXPENSE,85491.42,12892.53,171409.14,269792,140.38,21.17,281.46,443.01,609
2019,010347,TOTAL,4033934.0,1050461.0,1090649.0,6175044,6623.87,1724.9,1790.89,10139.66,609
2019,010348,SALARIES,3577215.06,296521.32,835042.44,4708778,4873.59,403.98,1137.66,6415.23,734
2019,010348,EMPLOYEE BENEFITS,1328018.86,130923.58,249758.18,1708699,1809.29,178.37,340.27,2327.93,734
2019,010348,PURCHASED SERVICES,71403.52,36934.88,296851.62,405188,97.28,50.32,404.43,552.03,734
2019,010348,SUPPLIES & MATERIALS,95882.42,199794.8,177429.82,473105,130.63,272.2,241.73,644.56,734
2019,010348,INSTRUCTIONAL EQUIP.,20192.34,6349.1,2348.8,28889,27.51,8.65,3.2,39.36,734
2019,010348,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,734
2019,010348,CENTRAL EXPENSE,103038.92,15538.78,206591.64,325167,140.38,21.17,281.46,443.01,734
2019,010348,TOTAL,5195748.0,686059.0,1768019.0,7649826,7078.68,934.69,2408.75,10422.12,734
2019,010350,SALARIES,2725950.66,368466.63,696892.14,3791308,3888.66,525.63,994.14,5408.43,701
2019,010350,EMPLOYEE BENEFITS,1048457.66,140038.77,220576.66,1409071,1495.66,199.77,314.66,2010.09,701
2019,010350,PURCHASED SERVICES,63433.49,55533.22,212094.56,331060,90.49,79.22,302.56,472.27,701
2019,010350,SUPPLIES & MATERIALS,25719.69,329434.95,110610.79,465763,36.69,469.95,157.79,664.43,701
2019,010350,INSTRUCTIONAL EQUIP.,19284.51,12730.16,6273.95,38287,27.51,18.16,8.95,54.62,701
2019,010350,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,701
2019,010350,CENTRAL EXPENSE,98406.38,14840.17,197303.46,310549,140.38,21.17,281.46,443.01,701
2019,010350,TOTAL,3981249.0,921041.0,1443748.0,6346038,5679.39,1313.9,2059.56,9052.85,701
2019,010351,SALARIES,2323693.68,377721.96,379283.52,3080697,5029.64,817.58,820.96,6668.18,462
2019,010351,EMPLOYEE BENEFITS,886638.06,144495.12,116345.46,1147478,1919.13,312.76,251.83,2483.72,462
2019,010351,PURCHASED SERVICES,41792.52,25049.64,124217.94,191058,90.46,54.22,268.87,413.55,462
2019,010351,SUPPLIES & MATERIALS,10570.56,302318.94,97408.08,410296,22.88,654.37,210.84,888.09,462
2019,010351,INSTRUCTIONAL EQUIP.,12709.62,6486.48,1968.12,21163,27.51,14.04,4.26,45.81,462
2019,010351,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,462
2019,010351,CENTRAL EXPENSE,64855.56,9780.54,130034.52,204669,140.38,21.17,281.46,443.01,462
2019,010351,TOTAL,3340257.0,865849.0,849255.0,5055361,7230.0,1874.14,1838.22,10942.36,462
2019,010353,SALARIES,2763150.0,223384.2,647121.28,3633655,4087.5,330.45,957.28,5375.23,676
2019,010353,EMPLOYEE BENEFITS,1004637.4,73190.52,201529.12,1279356,1486.15,108.27,298.12,1892.54,676
2019,010353,PURCHASED SERVICES,61441.64,28074.28,295405.24,384920,90.89,41.53,436.99,569.41,676
2019,010353,SUPPLIES & MATERIALS,44386.16,34070.4,90739.48,169195,65.66,50.4,134.23,250.29,676
2019,010353,INSTRUCTIONAL EQUIP.,18596.76,4732.0,1940.12,25268,27.51,7.0,2.87,37.38,676
2019,010353,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,676
2019,010353,CENTRAL EXPENSE,94896.88,14310.92,190266.96,299472,140.38,21.17,281.46,443.01,676
2019,010353,TOTAL,3987106.0,377760.0,1427000.0,5791866,5898.09,558.82,2110.95,8567.86,676
2019,010354,SALARIES,2764772.73,297403.11,433159.92,3495334,4452.13,478.91,697.52,5628.56,621
2019,010354,EMPLOYEE BENEFITS,1047850.56,120281.49,130559.04,1298690,1687.36,193.69,210.24,2091.29,621
2019,010354,PURCHASED SERVICES,56175.66,67887.72,182008.89,306070,90.46,109.32,293.09,492.87,621
2019,010354,SUPPLIES & MATERIALS,18934.29,515926.8,119970.99,654830,30.49,830.8,193.19,1054.48,621
2019,010354,INSTRUCTIONAL EQUIP.,17083.71,60826.95,10513.53,88422,27.51,97.95,16.93,142.39,621
2019,010354,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,621
2019,010354,CENTRAL EXPENSE,87175.98,13146.57,174786.66,275107,140.38,21.17,281.46,443.01,621
2019,010354,TOTAL,3991989.0,1075469.0,1050995.0,6118453,6428.33,1731.84,1692.43,9852.6,621
2019,010357,SALARIES,2567366.4,208723.2,177139.2,2953228,5348.68,434.84,369.04,6152.56,480
2019,010357,EMPLOYEE BENEFITS,951518.4,79876.8,62107.2,1093501,1982.33,166.41,129.39,2278.13,480
2019,010357,PURCHASED SERVICES,143577.6,47452.8,89673.6,280702,299.12,98.86,186.82,584.8,480
2019,010357,SUPPLIES & MATERIALS,55353.6,436104.0,101558.4,593015,115.32,908.55,211.58,1235.45,480
2019,010357,INSTRUCTIONAL EQUIP.,13204.8,11668.8,53020.8,77892,27.51,24.31,110.46,162.28,480
2019,010357,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,480
2019,010357,CENTRAL EXPENSE,67382.4,10161.6,135100.8,212643,140.38,21.17,281.46,443.01,480
2019,010357,TOTAL,3798400.0,793984.0,618597.0,5210981,7913.34,1654.14,1288.75,10856.23,480
2019,010358,SALARIES,2399665.7,367983.0,588766.9,3356414,4067.23,623.7,997.91,5688.84,590
2019,010358,EMPLOYEE BENEFITS,874031.9,141588.2,195266.4,1210885,1481.41,239.98,330.96,2052.35,590
2019,010358,PURCHASED SERVICES,83290.3,29157.8,214836.7,327283,141.17,49.42,364.13,554.72,590
2019,010358,SUPPLIES & MATERIALS,17281.1,459875.5,124779.1,601935,29.29,779.45,211.49,1020.23,590
2019,010358,INSTRUCTIONAL EQUIP.,16230.9,10979.9,56758.0,83967,27.51,18.61,96.2,142.32,590
2019,010358,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,590
2019,010358,CENTRAL EXPENSE,82824.2,12490.3,166061.4,261375,140.38,21.17,281.46,443.01,590
2019,010358,TOTAL,3473321.0,1022072.0,1346466.0,5841859,5886.99,1732.33,2282.15,9901.47,590
2019,010360,SALARIES,4152880.16,427694.8,973921.36,5554495,4455.88,458.9,1044.98,5959.76,932
2019,010360,EMPLOYEE BENEFITS,1514322.92,167722.72,299479.56,1981523,1624.81,179.96,321.33,2126.1,932
2019,010360,PURCHASED SERVICES,92016.36,41762.92,163239.8,297017,98.73,44.81,175.15,318.69,932
2019,010360,SUPPLIES & MATERIALS,58427.08,287438.12,149586.0,495451,62.69,308.41,160.5,531.6,932
2019,010360,INSTRUCTIONAL EQUIP.,25639.32,22368.0,5806.36,53813,27.51,24.0,6.23,57.74,932
2019,010360,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,932
2019,010360,CENTRAL EXPENSE,130834.16,19730.44,262320.72,412884,140.38,21.17,281.46,443.01,932
2019,010360,TOTAL,5974118.0,966714.0,1854351.0,8795183,6410.0,1037.25,1989.65,9436.9,932
2019,010362,SALARIES,2510537.49,145916.47,471103.83,3127556,4818.69,280.07,904.23,6002.99,521
2019,010362,EMPLOYEE BENEFITS,870846.29,51313.29,142014.18,1064173,1671.49,98.49,272.58,2042.56,521
2019,010362,PURCHASED SERVICES,47129.66,21861.16,177113.95,246103,90.46,41.96,339.95,472.37,521
2019,010362,SUPPLIES & MATERIALS,24507.84,122388.11,82927.57,229822,47.04,234.91,159.17,441.12,521
2019,010362,INSTRUCTIONAL EQUIP.,14332.71,7200.22,2198.62,23730,27.51,13.82,4.22,45.55,521
2019,010362,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,521
2019,010362,CENTRAL EXPENSE,73137.98,11029.57,146640.66,230806,140.38,21.17,281.46,443.01,521
2019,010362,TOTAL,3540488.0,359707.0,1021995.0,4922190,6795.57,690.42,1961.61,9447.6,521
2019,010364,SALARIES,1852519.29,224719.8,424577.81,2501815,5247.93,636.6,1202.77,7087.3,353
2019,010364,EMPLOYEE BENEFITS,711718.6,78719.0,128654.38,919091,2016.2,223.0,364.46,2603.66,353
2019,010364,PURCHASED SERVICES,31932.38,15923.83,110083.05,157938,90.46,45.11,311.85,447.42,353
2019,010364,SUPPLIES & MATERIALS,10660.6,259479.71,66424.01,336563,30.2,735.07,188.17,953.44,353
2019,010364,INSTRUCTIONAL EQUIP.,9711.03,10699.43,2640.44,23050,27.51,30.31,7.48,65.3,353
2019,010364,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,353
2019,010364,CENTRAL EXPENSE,49554.14,7473.01,99355.38,156382,140.38,21.17,281.46,443.01,353
2019,010364,TOTAL,2666094.0,597012.0,831733.0,4094839,7552.68,1691.26,2356.19,11600.13,353
2019,010372,SALARIES,1557448.2,172585.35,286627.95,2016660,4944.28,547.89,909.93,6402.1,315
2019,010372,EMPLOYEE BENEFITS,600966.45,67359.6,91879.2,760204,1907.83,213.84,291.68,2413.35,315
2019,010372,PURCHASED SERVICES,28507.5,41047.65,79408.35,148962,90.5,130.31,252.09,472.9,315
2019,010372,SUPPLIES & MATERIALS,11806.2,190401.75,79663.5,281870,37.48,604.45,252.9,894.83,315
2019,010372,INSTRUCTIONAL EQUIP.,8665.65,8631.0,2176.65,19472,27.51,27.4,6.91,61.82,315
2019,010372,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,315
2019,010372,CENTRAL EXPENSE,44219.7,6668.55,88659.9,139546,140.38,21.17,281.46,443.01,315
2019,010372,TOTAL,2251611.0,486691.0,628412.0,3366714,7147.98,1545.06,1994.97,10688.01,315
2019,010374,SALARIES,2556751.89,472777.14,646502.01,3676030,4557.49,842.74,1152.41,6552.64,561
2019,010374,EMPLOYEE BENEFITS,937543.2,179245.11,203693.49,1320481,1671.2,319.51,363.09,2353.8,561
2019,010374,PURCHASED SERVICES,51668.1,86629.62,184770.96,323067,92.1,154.42,329.36,575.88,561
2019,010374,SUPPLIES & MATERIALS,27690.96,304286.4,92677.2,424653,49.36,542.4,165.2,756.96,561
2019,010374,INSTRUCTIONAL EQUIP.,15433.11,9929.7,52526.43,77888,27.51,17.7,93.63,138.84,561
2019,010374,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,561
2019,010374,CENTRAL EXPENSE,78753.18,11876.37,157899.06,248528,140.38,21.17,281.46,443.01,561
2019,010374,TOTAL,3667838.0,1064742.0,1338067.0,6070647,6538.04,1897.94,2385.15,10821.13,561
2019,010378,SALARIES,1513861.44,239381.87,332466.68,2085708,16635.84,2630.57,3653.48,22919.89,91
2019,010378,EMPLOYEE BENEFITS,580746.53,106590.12,93989.35,781325,6381.83,1171.32,1032.85,8586.0,91
2019,010378,PURCHASED SERVICES,8747.83,3618.16,72649.85,85014,96.13,39.76,798.35,934.24,91
2019,010378,SUPPLIES & MATERIALS,2329.6,5640.18,19515.86,27484,25.6,61.98,214.46,302.04,91
2019,010378,INSTRUCTIONAL EQUIP.,2503.41,2799.16,689.78,5991,27.51,30.76,7.58,65.85,91
2019,010378,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,91
2019,010378,CENTRAL EXPENSE,12774.58,1926.47,25612.86,40312,140.38,21.17,281.46,443.01,91
2019,010378,TOTAL,2120960.0,359954.0,544920.0,3025834,23307.29,3955.56,5988.18,33251.03,91
2019,010380,SALARIES,2657781.93,338264.81,513767.17,3509812,4670.97,594.49,902.93,6168.39,569
2019,010380,EMPLOYEE BENEFITS,969274.43,126807.34,155217.51,1251298,1703.47,222.86,272.79,2199.12,569
2019,010380,PURCHASED SERVICES,98545.11,28307.75,170165.14,297017,173.19,49.75,299.06,522.0,569
2019,010380,SUPPLIES & MATERIALS,28666.22,210228.43,99722.94,338616,50.38,369.47,175.26,595.11,569
2019,010380,INSTRUCTIONAL EQUIP.,15653.19,4398.37,48922.62,68973,27.51,7.73,85.98,121.22,569
2019,010380,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,569
2019,010380,CENTRAL EXPENSE,79876.22,12045.73,160150.74,252071,140.38,21.17,281.46,443.01,569
2019,010380,TOTAL,3849795.0,720049.0,1147943.0,5717787,6765.9,1265.47,2017.48,10048.85,569
2019,010384,SALARIES,2737143.72,143576.91,520989.48,3401708,4283.48,224.69,815.32,5323.49,639
2019,010384,EMPLOYEE BENEFITS,1025032.68,50014.53,163047.24,1238093,1604.12,78.27,255.16,1937.55,639
2019,010384,PURCHASED SERVICES,57803.94,26537.67,180523.89,264863,90.46,41.53,282.51,414.5,639
2019,010384,SUPPLIES & MATERIALS,42761.88,131263.38,76507.47,250531,66.92,205.42,119.73,392.07,639
2019,010384,INSTRUCTIONAL EQUIP.,17578.89,9904.5,51420.33,78902,27.51,15.5,80.47,123.48,639
2019,010384,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,639
2019,010384,CENTRAL EXPENSE,89702.82,13527.63,179852.94,283081,140.38,21.17,281.46,443.01,639
2019,010384,TOTAL,3970019.0,374821.0,1172338.0,5517178,6212.87,586.58,1834.65,8634.1,639
2019,010388,SALARIES,5381810.0,278628.0,1159214.0,6819652,3844.15,199.02,828.01,4871.18,1400
2019,010388,EMPLOYEE BENEFITS,2016560.0,102844.0,341922.0,2461326,1440.4,73.46,244.23,1758.09,1400
2019,010388,PURCHASED SERVICES,156912.0,171080.0,447790.0,775782,112.08,122.2,319.85,554.13,1400
2019,010388,SUPPLIES & MATERIALS,108864.0,238210.0,213332.0,560406,77.76,170.15,152.38,400.29,1400
2019,010388,INSTRUCTIONAL EQUIP.,38514.0,6286.0,3318.0,48118,27.51,4.49,2.37,34.37,1400
2019,010388,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1400
2019,010388,CENTRAL EXPENSE,196532.0,29638.0,394044.0,620214,140.38,21.17,281.46,443.01,1400
2019,010388,TOTAL,7899192.0,826686.0,2559620.0,11285498,5642.28,590.49,1828.3,8061.07,1400
2019,010390,SALARIES,2696046.92,197335.12,706275.06,3599656,3754.94,274.84,983.67,5013.45,718
2019,010390,EMPLOYEE BENEFITS,1025282.46,73752.96,225538.16,1324572,1427.97,102.72,314.12,1844.81,718
2019,010390,PURCHASED SERVICES,65395.44,30558.08,211386.38,307339,91.08,42.56,294.41,428.05,718
2019,010390,SUPPLIES & MATERIALS,29904.7,160501.72,125506.4,315911,41.65,223.54,174.8,439.99,718
2019,010390,INSTRUCTIONAL EQUIP.,19752.18,10655.12,3173.56,33580,27.51,14.84,4.42,46.77,718
2019,010390,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,718
2019,010390,CENTRAL EXPENSE,100792.84,15200.06,202088.28,318080,140.38,21.17,281.46,443.01,718
2019,010390,TOTAL,3937171.0,488001.0,1473966.0,5899138,5483.53,679.67,2052.88,8216.08,718
2019,010392,SALARIES,1524138.24,168721.56,284757.48,1977616,5522.24,611.31,1031.73,7165.28,276
2019,010392,EMPLOYEE BENEFITS,597440.64,67882.2,90323.76,755645,2164.64,245.95,327.26,2737.85,276
2019,010392,PURCHASED SERVICES,24966.96,29037.96,101145.72,155148,90.46,105.21,366.47,562.14,276
2019,010392,SUPPLIES & MATERIALS,10253.4,124945.2,65058.72,200256,37.15,452.7,235.72,725.57,276
2019,010392,INSTRUCTIONAL EQUIP.,7592.76,9560.64,49072.8,66224,27.51,34.64,177.8,239.95,276
2019,010392,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,276
2019,010392,CENTRAL EXPENSE,38744.88,5842.92,77682.96,122268,140.38,21.17,281.46,443.01,276
2019,010392,TOTAL,2203133.0,405987.0,668037.0,3277157,7982.38,1470.98,2420.44,11873.8,276
2019,010394,SALARIES,3415513.15,429656.5,869097.81,4714266,3668.65,461.5,933.51,5063.66,931
2019,010394,EMPLOYEE BENEFITS,1248396.52,159498.92,265260.52,1673154,1340.92,171.32,284.92,1797.16,931
2019,010394,PURCHASED SERVICES,84562.73,111114.85,252105.49,447781,90.83,119.35,270.79,480.97,931
2019,010394,SUPPLIES & MATERIALS,21980.91,324593.15,169674.75,516247,23.61,348.65,182.25,554.51,931
2019,010394,INSTRUCTIONAL EQUIP.,25611.81,7401.45,2848.86,35860,27.51,7.95,3.06,38.52,931
2019,010394,OTHER OBJECTS,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,931
2019,010394,CENTRAL EXPENSE,130693.78,19709.27,262039.26,412441,140.38,21.17,281.46,443.01,931
2019,010394,TOTAL,4926755.0,1051971.0,1821023.0,7799749,5291.9,1129.94,1955.99,8377.83,931
2019,010396,SALARIES,4546284.33,272107.1,1112541.03,5930932,3991.47,238.9,976.77,5207.14,1139
2019,010396,EMPLOYEE BENEFITS,1681072.88,93272.71,351313.16,2125657,1475.92,81.89,308.44,1866.25,1139
