agency_code,category_code,agency_level,lea_code,designation_type,name,county,street_addr,stree_addr2,city,state,zip,phone,grade_span,school_type,calendar_type,url,super_name,title_I,esea,stem
01C000,A,SCH,CH,C,Clover Garden,Alamance,2454 Altamhaw Union Ridge Road,,Burlington,NC,27217.0,336-586-9440,KG:12,Regular School,Traditional Calendar,http://www.cgsnc.org,Heather Vereyken,Y,,
01D000,A,SCH,CH,C,The Hawbridge School,Alamance,1735 Saxapahaw Bethlehem Church Rd,,Saxapahaw,NC,27340.0,336-376-1122,04:12,Regular School,Traditional Calendar,http://www.thehawbridgeschool.org,Mya Ciccotti,,,
020302,H,SCH,020LEA,P,Alexander Central High,Alexander,223 School Drive,,Taylorsville,NC,28681.0,828-632-7063,09:12,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/alexandercentral,,,,
020303,H,SCH,020LEA,P,Alexander Early College,Alexander,230 Industrial Blvd,,Taylorsville,NC,28681.0,828-632-8221,09:10,Regular School,Year-Round Calendar,http://www.alexander.k12.nc.us/aec,,,,
020304,E,SCH,020LEA,P,Bethlehem Elementary,Alexander,7900 NC Hwy 127,,Taylorsville,NC,28681.0,828-495-8198,PK:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/bethlehem,,Y,,
020306,M,SCH,020LEA,P,East Alexander Middle,Alexander,1285 White Plains Road,,Hiddenite,NC,28636.0,828-632-7565,06:08,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/eastalexander,,,,
020308,E,SCH,020LEA,P,Ellendale Elementary,Alexander,175 Ellendale Park Lane,,Taylorsville,NC,28681.0,828-632-4866,KG:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/ellendale,,Y,,
020316,E,SCH,020LEA,P,Hiddenite Elementary,Alexander,374 Sulphur Springs Road,,Hiddenite,NC,28636.0,828-632-2503,PK:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/hiddenite,,Y,,
020320,E,SCH,020LEA,P,Stony Point Elementary,Alexander,311 Stony Point School Road,,Stony Point,NC,28678.0,704-585-6981,PK:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/stonypoint,,Y,,
020324,E,SCH,020LEA,P,Sugar Loaf Elementary,Alexander,3600 NC Hwy 16N,,Taylorsville,NC,28681.0,828-632-2192,KG:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/sugarloaf,,Y,,
020328,E,SCH,020LEA,P,Taylorsville Elementary,Alexander,100 7th Street SW,,Taylorsville,NC,28681.0,828-632-3072,PK:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/taylorsville,,Y,,
020330,M,SCH,020LEA,P,West Alexander Middle,Alexander,85 Bulldog Lane,,Taylorsville,NC,28681.0,828-495-4611,06:08,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/westalexander,,,,
020332,E,SCH,020LEA,P,Wittenburg Elementary,Alexander,7300 Church Road,,Taylorsville,NC,28681.0,828-632-2395,PK:05,Regular School,Traditional Calendar,http://www.alexander.k12.nc.us/wittenburg,,Y,,
020LEA,,LEA,,P,Alexander County Schools,Alexander,700 Liledoun Road,,Taylorsville,NC,28681.0,828-632-7001,,,,http://www.alexander.k12.nc.us,Jennifer F Hefner,,,
030304,H,SCH,030LEA,P,Alleghany High,Alleghany,404 Trojan Avenue,,Sparta,NC,28675.0,336-372-4554,09:12,Regular School,Traditional Calendar,http://ahs.alleghany.k12.nc.us,,,,
030308,I,SCH,030LEA,P,Glade Creek Elementary,Alleghany,32 Glade Creek Sch Road,,Ennice,NC,28623.0,336-657-3388,PK:08,Regular School,Traditional Calendar,http://gcs.alleghany.k12.nc.us,,Y,,
030316,I,SCH,030LEA,P,Piney Creek Elementary,Alleghany,559 Piney Creek Sch Road,,Piney Creek,NC,28663.0,336-359-2988,PK:08,Regular School,Traditional Calendar,http://pcs.alleghany.k12.nc.us,,Y,,
030320,I,SCH,030LEA,P,Sparta Elementary,Alleghany,450 N Main Street,,Sparta,NC,28675.0,336-372-8546,PK:08,Regular School,Traditional Calendar,http://ses.alleghany.k12.nc.us,,Y,,
030LEA,,LEA,,P,Alleghany County Schools,Alleghany,85 Peachtree Street,,Sparta,NC,28675.0,336-372-4345,,,,http://www.alleghany.k12.nc.us,Chad S Beasley,,,
040304,H,SCH,040LEA,P,Anson Co. Early College High,Anson,177 Ledbetter Street,,Polkton,NC,28135.0,704-272-5396,09:13,Regular School,Traditional Calendar,http://www.ansonschools.org,,,,
040305,T,SCH,040LEA,P,Anson Academy,Anson,118 N. Ashe Street,,Wadesboro,NC,28170.0,704-694-7447,07:12,Alternative Education,Traditional Calendar,http://www.ansonschools.org,,,,
040306,H,SCH,040LEA,P,Anson High School,Anson,96 Anson High School Road,,Wadesboro,NC,28170.0,704-694-9301,09:12,Regular School,Traditional Calendar,http://ahs.ansonschools.org/home.aspx,,,,
040308,E,SCH,040LEA,P,Ansonville Elementary,Anson,9104 Hwy 52 N,,Ansonville,NC,28007.0,704-826-8337,KG:06,Regular School,Traditional Calendar,http://aes.ansonschools.org/home.aspx,,Y,,
040309,M,SCH,040LEA,P,Anson Middle,Anson,832 US Hwy 52 N,,Wadesboro,NC,28170.0,704-694-3945,06:08,Regular School,Traditional Calendar,http://ams.ansonschools.org/home.aspx,,,,
040311,E,SCH,040LEA,P,Wadesboro Primary,Anson,1542 Hwy 52 S,,Wadesboro,NC,28170.0,704-694-4423,KG:03,Regular School,Traditional Calendar,http://wps.ansonschools.org/home.aspx,,Y,,
040316,E,SCH,040LEA,P,Lilesville Elementary,Anson,121 Camden Street,,Lilesville,NC,28091.0,704-848-4975,KG:06,Regular School,Traditional Calendar,http://les.ansonschools.org/home.aspx,,Y,,
040324,E,SCH,040LEA,P,Morven Elementary,Anson,6715 Hwy 52 S,,Morven,NC,28119.0,704-851-9306,KG:05,Regular School,Traditional Calendar,http://mes.ansonschools.org/home.aspx,,Y,,
040328,E,SCH,040LEA,P,Peachland-Polkton Elem,Anson,9633 Hwy 74 W,,Peachland,NC,28133.0,704-272-8061,KG:06,Regular School,Traditional Calendar,http://ppes.ansonschools.org/home.aspx,,Y,,
040330,E,SCH,040LEA,P,Wadesboro Elementary,Anson,321 Camden Road,,Wadesboro,NC,28710.0,704-694-9383,04:05,Regular School,Traditional Calendar,http://wes.ansonschools.org/home,,Y,,
040LEA,,LEA,,P,Anson County Schools,Anson,320 Camden Road,,Wadesboro,NC,28170.0,704-694-4417,,,,http://www.ansonschools.org,Michael H Freeman,,,
050302,H,SCH,050LEA,P,Ashe County High,Ashe,184 Campus Drive,,West Jefferson,NC,28694.0,336-846-2400,09:12,Regular School,Traditional Calendar,http://www.ashe.k12.nc.us/achs/web/home/index.htm,,,,
050305,M,SCH,050LEA,P,Ashe County Middle,Ashe,255 Northwest Lane,,Warrensville,NC,28693.0,336-384-3591,07:08,Regular School,Traditional Calendar,http://ashemiddle.ashe.k12.nc.us/,,,,
050310,E,SCH,050LEA,P,Blue Ridge Elementary,Ashe,5778 NC Hwy 88 W,,Warrensville,NC,28693.0,336-384-4500,KG:06,Regular School,Traditional Calendar,http://www.ashe.k12.nc.us/bres2/web/home.htm,,Y,,
050330,E,SCH,050LEA,P,"Mountain View Elementary, Jefferson",Ashe,2789 Hwy 221 N,,Jefferson,NC,28640.0,336-982-4200,PK:06,Regular School,Traditional Calendar,http://www.ashe.k12.nc.us/mves/web/home.htm,,Y,,
050335,E,SCH,050LEA,P,Westwood Elementary,Ashe,4083 US Hwy 221S,,West Jefferson,NC,28694.0,336-877-2921,KG:06,Regular School,Traditional Calendar,,,Y,,
050LEA,,LEA,,P,Ashe County Schools,Ashe,320 South Street,,Jefferson,NC,28640.0,336-246-7175,,,,http://www.ashe.k12.nc.us/,Phyllis L Yates,,,
060302,H,SCH,060LEA,P,Avery County High,Avery,401 Avery County High School Road,,Newland,NC,28657.0,828-733-0151,09:12,Regular School,Traditional Calendar,http://www.averyschools.net/schools/ahs.aspx,,,,
060304,E,SCH,060LEA,P,Banner Elk Elementary,Avery,155 Orchard Lane,,Banner Elk,NC,28604.0,828-737-5700,PK:05,Regular School,Traditional Calendar,http://www.averyschools.net/schools/bes.aspx,,Y,,
060310,M,SCH,060LEA,P,Cranberry Middle,Avery,6230 North Highway 19E,,Elk Park,NC,28622.0,828-733-2932,06:08,Regular School,Traditional Calendar,http://www.averyschools.net/schools/cms.aspx,,Y,,
060316,E,SCH,060LEA,P,Crossnore Elementary,Avery,1000 Walt Clark Road,,Crossnore,NC,28616.0,828-737-7204,PK:05,Regular School,Traditional Calendar,http://www.averyschools.net/schools/ces.aspx,,Y,,
060318,M,SCH,060LEA,P,Avery Middle,Avery,102 Old Montezuma Road,,Newland,NC,28657.0,828-733-0145,06:08,Regular School,Traditional Calendar,http://www.averyschools.net/schools/ams.aspx,,Y,,
060322,E,SCH,060LEA,P,Freedom Trail Elementary,Avery,6110 North US Hwy 19E,,Elk Park,NC,28622.0,828-733-4744,PK:05,Regular School,Traditional Calendar,http://www.averyschools.net/schools,,Y,,
060328,E,SCH,060LEA,P,Newland Elementary,Avery,750 Linville Street,,Newland,NC,28657.0,828-733-4911,PK:05,Regular School,Traditional Calendar,http://www.averyschools.net/schools/nes.aspx,,Y,,
060332,E,SCH,060LEA,P,Riverside Elementary,Avery,8020 US 19E Hwy South,,Newland,NC,28657.0,828-737-5600,PK:05,Regular School,Traditional Calendar,http://www.averyschools.net/schools,,Y,,
060334,T,SCH,060LEA,P,Blue Ridge Academy,Avery,76 Old Montezuma Rd,,Newland,NC,28657.0,828-737-6011,06:12,Alternative Education,Traditional Calendar,,,,,
060700,H,SCH,060LEA,P,Avery High STEM Academy,Avery,401 Avery County High School Rd,,Newland,NC,28657.0,828-733-0151,09:12,Regular School,Traditional Calendar,http://www.averyschools.net/schools/ams.aspx,,,,
060701,H,SCH,060LEA,P,Avery High Viking Academy,Avery,401 Avery County High School Rd,,Newland,NC,28657.0,828-733-0151,09:09,Regular School,Traditional Calendar,,,,,
060LEA,,LEA,,P,Avery County Schools,Avery,775 Cranberry Street,,Newland,NC,28657.0,828-733-6006,,,,http://www.averyschools.net,Bryan W Taylor,,,
06A000,A,SCH,CH,C,Grandfather Academy,Avery,64 Grandfather Home Drive,,Banner Elk,NC,28604.0,828-897-4500,01:12,Regular School,Traditional Calendar,64 Grandfather Home Dr,Michelle Griffin,Y,,
06B000,A,SCH,CH,C,Williams Academy,Avery,129 Allen Circle,,Crossnore,NC,28616.0,828-733-5241,KG:12,Regular School,Traditional Calendar,http://www.williamsacademy.org/,Cyndi H Austin,Y,,
070302,E,SCH,070LEA,P,"Eastern Elementary, Washington",Beaufort,947 Hudnell Street,,Washington,NC,27889.0,252-946-1611,PK:01,Regular School,Traditional Calendar,http://beaufort.ees.schoolfusion.us/,,Y,,
070308,I,SCH,070LEA,P,Bath Elementary,Beaufort,110 S King Street,,Bath,NC,27808.0,252-923-3251,KG:08,Regular School,Traditional Calendar,http://beaufort.bath.schoolfusion.us/,,Y,,
070310,T,SCH,070LEA,P,B C Ed Tech Center,Beaufort,820 North Bridge St,,Washington,NC,27899.0,252-946-5382,06:12,Alternative Education,Traditional Calendar,http://beaufort.etc.schoolfusion.us/,,,,
070311,H,SCH,070LEA,P,Beaufort Co Early College High,Beaufort,5337 Hwy 264 East,,Washington,NC,27889.0,252-940-6461,09:13,Regular School,Traditional Calendar,,,,,
070325,M,SCH,070LEA,P,Chocowinity Middle,Beaufort,3831 US HWY 17 S,,Chocowinity,NC,27817.0,252-946-6191,05:08,Regular School,Traditional Calendar,http://beaufort.cms.schoolfusion.us/,,Y,,
070326,E,SCH,070LEA,P,Chocowinity Primary,Beaufort,606 Gray Road,,Chocowinity,NC,27817.0,252-946-3881,PK:04,Regular School,Traditional Calendar,http://beaufort.cps.schoolfusion.us/,,Y,,
070327,E,SCH,070LEA,P,John C Tayloe Elementary,Beaufort,910 Tarboro Street,,Washington,NC,27889.0,252-946-3350,02:03,Regular School,Traditional Calendar,http://beaufort.jct.schoolfusion.us/,,Y,,
070328,E,SCH,070LEA,P,John Small Elementary,Beaufort,4103 North Market Street Ext,,Washington,NC,27889.0,252-946-3941,04:05,Regular School,Traditional Calendar,http://beaufort.jss.schoolfusion.us/,,Y,,
070329,I,SCH,070LEA,P,"Northeast Elementary, Pinetown",Beaufort,21000 US Hwy 264 East,,Pinetown,NC,27865.0,252-943-6545,PK:08,Regular School,Traditional Calendar,http://beaufort.nes.schoolfusion.us/,,Y,,
070330,H,SCH,070LEA,P,"Northside High, Pinetown",Beaufort,7868 Free Union Church Road,,Pinetown,NC,27865.0,252-943-6341,09:12,Regular School,Traditional Calendar,http://beaufort.nhs.schoolfusion.us/,,,,
070338,M,SCH,070LEA,P,P S Jones Middle,Beaufort,4105 N Market Street Ext,,Washington,NC,27889.0,252-946-0874,06:08,Regular School,Traditional Calendar,http://beaufort.psj.schoolfusion.us/,,,,
070339,H,SCH,070LEA,P,Southside High,Beaufort,5700 Hwy 33 East,,Chocowinity,NC,27817.0,252-940-1881,09:12,Regular School,Traditional Calendar,http://beaufort.shs.schoolfusion.us/,,,,
070340,I,SCH,070LEA,P,S W Snowden Elementary,Beaufort,693 North 7th Street,,Aurora,NC,27806.0,252-322-5351,PK:08,Regular School,Traditional Calendar,http://beaufort.sws.schoolfusion.us/,,Y,,
070342,H,SCH,070LEA,P,Washington High,Beaufort,400 Slatestone Road,,Washington,NC,27889.0,252-946-0858,09:12,Regular School,Traditional Calendar,http://beaufort.whs.schoolfusion.us/,,,,
070LEA,,LEA,,P,Beaufort County Schools,Beaufort,321 Smaw Road,,Washington,NC,27889.0,252-946-6593,,,,http://www.beaufort.k12.nc.us/,Mark Doane,,,
07A000,A,SCH,CH,C,Washington Montessori,Beaufort,2330 Old Bath Hwy,,Washington,NC,27889.0,252-946-1977,KG:12,Regular School,Traditional Calendar,http://wmpcs.org,Austin Smigel,,,
080311,H,SCH,080LEA,P,Bertie Early College High,Bertie,819 Governors Road,,Windsor,NC,27983.0,252-794-2150,09:13,Regular School,Traditional Calendar,http://www.bec.bertie.k12.nc.us,,Y,,
080312,H,SCH,080LEA,P,Bertie High,Bertie,716 US Hwy 13 North,,Windsor,NC,27983.0,252-794-3034,09:12,Regular School,Traditional Calendar,http://www.bhs.bertie.k12.nc.us,,Y,,
080314,M,SCH,080LEA,P,Bertie Middle,Bertie,652 US Hwy 13 North,,Windsor,NC,27983.0,252-794-2143,06:08,Regular School,Traditional Calendar,http://www.bms.bertie.k12.nc.us,,Y,,
080348,E,SCH,080LEA,P,Aulander Elementary,Bertie,2515 NC Highway 305 North,,Aulander,NC,27805.0,252-345-3211,PK:05,Regular School,Year-Round Calendar,http://www.aes.bertie.k12.nc.us,,Y,,
080356,E,SCH,080LEA,P,West Bertie Elementary,Bertie,3734 Governors Road,,Kelford,NC,27847.0,252-344-7621,PK:05,Regular School,Traditional Calendar,http://www.wbes.bertie.k12.nc.us,,Y,,
080360,E,SCH,080LEA,P,Colerain Elementary,Bertie,202 N Academy Street,,Colerain,NC,27924.0,252-356-4714,PK:05,Regular School,Traditional Calendar,http://www.ces.bertie.k12.nc.us,,Y,,
080362,E,SCH,080LEA,P,Windsor Elementary,Bertie,104 Cooper Hill Road,,Windsor,NC,27983.0,252-794-5221,PK:05,Regular School,Traditional Calendar,http://www.wes.bertie.k12.nc.us,,Y,,
080LEA,,LEA,,P,Bertie County Schools,Bertie,715 US Highway 13 North,,Windsor,NC,27983.0,252-794-6025,,,,http://www.bertie.k12.nc.us,Catherine Edmonds,,,
08A000,E,SCH,CH,C,Heritage Collegiate Leadership Academy,Bertie,118-B County Farm Road,,Windsor,NC,27983.0,252-794-0597,KG:06,Regular School,Traditional Calendar,http://www.heritagecollegiate.org,Melissa Grimes,Y,,
090304,E,SCH,090LEA,P,B T Washington Primary,Bladen,66 Booker T Washington Road,,Clarkton,NC,28433.0,910-647-4161,PK:05,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090315,M,SCH,090LEA,P,Bladenboro Middle,Bladen,910 South Main Street,,Bladenboro,NC,28320.0,910-863-3232,05:08,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090317,E,SCH,090LEA,P,Bladenboro Primary,Bladen,312 Old Whiteville Road,,Bladenboro,NC,28320.0,910-863-3387,PK:04,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090318,E,SCH,090LEA,P,Bladen Lakes Primary,Bladen,9554 Johnsontown Road,,Elizabethtown,NC,28337.0,910-247-4608,PK:04,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090320,M,SCH,090LEA,P,Clarkton School of Discovery,Bladen,10000 North College Street,,Clarkton,NC,28433.0,910-647-6531,06:08,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us/csd/index.htm,,Y,,
090324,E,SCH,090LEA,P,Dublin Primary,Bladen,7048 Albert Street,,Dublin,NC,28332.0,910-862-2202,PK:04,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us/dublin/Dublin.htm,,Y,,
090328,I,SCH,090LEA,P,East Arcadia Elementary,Bladen,21451 NC Hwy 87 East,,Riegelwood,NC,28456.0,910-247-4609,KG:08,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090330,H,SCH,090LEA,P,East Bladen High,Bladen,5600 NC Hwy 87 East,,Elizabethtown,NC,28337.0,910-247-4610,09:12,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,,,
090332,M,SCH,090LEA,P,Elizabethtown Middle,Bladen,1496 Hwy 701 South,,Elizabethtown,NC,28337.0,910-862-4071,05:08,Regular School,Traditional Calendar,www.bladen.k12.nc.us,,Y,,
090333,E,SCH,090LEA,P,Elizabethtown Primary,Bladen,301 Mercer Road,,Elizabethtown,NC,28337.0,910-862-3380,PK:04,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090352,E,SCH,090LEA,P,Plain View Primary,Bladen,1963 Chicken Foot Road,,Tar Heel,NC,28392.0,910-862-2371,PK:04,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090365,M,SCH,090LEA,P,Tar Heel Middle,Bladen,14888 Hwy 87 West,,Tar Heel,NC,28392.0,910-862-2475,05:08,Regular School,Traditional Calendar,http://www.bladen.k12.nc.us,,Y,,
090368,H,SCH,090LEA,P,West Bladen High,Bladen,1600 NC Hwy 410,,Bladenboro,NC,28320.0,910-862-2130,09:12,Regular School,Traditional Calendar,www.bladen.k12.nc.us,,,,
090LEA,,LEA,,P,Bladen County Schools,Bladen,1489 US Hwy 701 South,,Elizabethtown,NC,28337.0,910-862-4136,,,,http://www.bladen.k12.nc.us,Robert P Taylor,,,
09A000,T,SCH,CH,C,Paul R Brown Leadership Academy,Bladen,1300 Martin L King Jr Dr,,Elizabethtown,NC,28337.0,910-862-2965,06:12,Regular School,Traditional Calendar,http://www.paulrbrownleadership.com/,Roland T. McKoy III,Y,,
09B000,E,SCH,CH,C,Emereau Bladen,Bladen,995 Airport Rd,,Elizabethtown,NC,28337.0,910-247-6595,KG:06,Regular School,Traditional Calendar,www.emereaubladen.org,Carla Bernice Fisher,,,
100302,E,SCH,100LEA,P,Belville Elementary,Brunswick,575 River Road,,Leland,NC,28451.0,910-371-0601,KG:05,Regular School,Traditional Calendar,http://www.bcswan.net/education/school/school.php?sectionid=3,,Y,,
